Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Current_Year,Car_Age,Depreciation_Rate
UM Renegade Mojave,2017,1.7,1.82,1400,Petrol,Individual,Manual,0,2025,8,1.5000000000000013
KTM RC200,2017,1.65,1.78,4000,Petrol,Individual,Manual,0,2025,8,1.6250000000000013
Bajaj Dominar 400,2017,1.45,1.6,1200,Petrol,Individual,Manual,0,2025,8,1.8750000000000018
Royal Enfield Classic 350,2017,1.35,1.47,4100,Petrol,Individual,Manual,0,2025,8,1.4999999999999987
KTM RC390,2015,1.35,2.37,21700,Petrol,Individual,Manual,0,2025,10,10.200000000000001
Hyosung GT250R,2014,1.35,3.45,16500,Petrol,Individual,Manual,1,2025,11,19.090909090909093
Royal Enfield Thunder 350,2013,1.25,1.5,15000,Petrol,Individual,Manual,0,2025,12,2.083333333333333
Royal Enfield Thunder 350,2016,1.2,1.5,18000,Petrol,Individual,Manual,0,2025,9,3.333333333333334
Royal Enfield Classic 350,2017,1.2,1.47,11000,Petrol,Individual,Manual,0,2025,8,3.375
KTM RC200,2016,1.2,1.78,6000,Petrol,Individual,Manual,0,2025,9,6.4444444444444455
Royal Enfield Thunder 350,2016,1.15,1.5,8700,Petrol,Individual,Manual,0,2025,9,3.8888888888888897
KTM 390 Duke,2014,1.15,2.4,7000,Petrol,Individual,Manual,0,2025,11,11.363636363636363
Mahindra Mojo XT300,2016,1.15,1.4,35000,Petrol,Individual,Manual,0,2025,9,2.7777777777777777
Royal Enfield Classic 350,2015,1.15,1.47,17000,Petrol,Individual,Manual,0,2025,10,3.2000000000000006
Royal Enfield Classic 350,2015,1.11,1.47,17500,Petrol,Individual,Manual,0,2025,10,3.599999999999999
Royal Enfield Classic 350,2013,1.1,1.47,33000,Petrol,Individual,Manual,0,2025,12,3.083333333333332
Royal Enfield Thunder 500,2015,1.1,1.9,14000,Petrol,Individual,Manual,0,2025,10,7.999999999999999
Royal Enfield Classic 350,2015,1.1,1.47,26000,Petrol,Individual,Manual,0,2025,10,3.6999999999999993
Royal Enfield Thunder 500,2013,1.05,1.9,5400,Petrol,Individual,Manual,0,2025,12,7.083333333333332
Bajaj Pulsar RS200,2016,1.05,1.26,5700,Petrol,Individual,Manual,0,2025,9,2.333333333333333
Royal Enfield Thunder 350,2011,1.05,1.5,6900,Petrol,Individual,Manual,0,2025,14,3.214285714285714
Royal Enfield Bullet 350,2016,1.05,1.17,6000,Petrol,Individual,Manual,0,2025,9,1.333333333333332
Royal Enfield Classic 350,2013,1.0,1.47,46500,Petrol,Individual,Manual,0,2025,12,3.916666666666666
Royal Enfield Classic 500,2012,0.95,1.75,11500,Petrol,Individual,Manual,0,2025,13,6.153846153846154
Royal Enfield Classic 500,2009,0.9,1.75,40000,Petrol,Individual,Manual,0,2025,16,5.3125
Bajaj Avenger 220,2017,0.9,0.95,1300,Petrol,Individual,Manual,0,2025,8,0.6249999999999991
Bajaj Avenger 150,2016,0.75,0.8,7000,Petrol,Individual,Manual,0,2025,9,0.555555555555556
Honda CB Hornet 160R,2017,0.8,0.87,3000,Petrol,Individual,Manual,0,2025,8,0.8749999999999993
Yamaha FZ S V 2.0,2017,0.78,0.84,5000,Petrol,Individual,Manual,0,2025,8,0.7499999999999993
Honda CB Hornet 160R,2017,0.75,0.87,11000,Petrol,Individual,Manual,0,2025,8,1.5
Yamaha FZ 16,2015,0.75,0.82,18000,Petrol,Individual,Manual,0,2025,10,0.6999999999999995
Bajaj Avenger 220,2017,0.75,0.95,3500,Petrol,Individual,Manual,0,2025,8,2.4999999999999996
Bajaj Avenger 220,2016,0.72,0.95,500,Petrol,Individual,Manual,0,2025,9,2.5555555555555554
TVS Apache RTR 160,2017,0.65,0.81,11800,Petrol,Individual,Manual,0,2025,8,2.0000000000000004
Bajaj Pulsar 150,2015,0.65,0.74,5000,Petrol,Individual,Manual,0,2025,10,0.8999999999999998
Honda CBR 150,2014,0.65,1.2,23500,Petrol,Individual,Manual,0,2025,11,5.0
Hero Extreme,2013,0.65,0.787,16000,Petrol,Individual,Manual,0,2025,12,1.1416666666666666
Honda CB Hornet 160R,2016,0.6,0.87,15000,Petrol,Individual,Manual,0,2025,9,3.0000000000000004
Bajaj Avenger 220 dtsi,2015,0.6,0.95,16600,Petrol,Individual,Manual,0,2025,10,3.4999999999999996
Honda CBR 150,2013,0.6,1.2,32000,Petrol,Individual,Manual,0,2025,12,5.0
Bajaj Avenger 150 street,2016,0.6,0.8,20000,Petrol,Individual,Manual,0,2025,9,2.222222222222223
Yamaha FZ  v 2.0,2015,0.6,0.84,29000,Petrol,Individual,Manual,0,2025,10,2.4
Yamaha FZ  v 2.0,2016,0.6,0.84,25000,Petrol,Individual,Manual,0,2025,9,2.6666666666666665
Bajaj Pulsar  NS 200,2014,0.6,0.99,25000,Petrol,Individual,Manual,0,2025,11,3.5454545454545454
TVS Apache RTR 160,2012,0.6,0.81,19000,Petrol,Individual,Manual,0,2025,13,1.615384615384616
Hero Extreme,2014,0.55,0.787,15000,Petrol,Individual,Manual,0,2025,11,2.1545454545454543
Yamaha FZ S V 2.0,2015,0.55,0.84,58000,Petrol,Individual,Manual,0,2025,10,2.899999999999999
Bajaj Pulsar 220 F,2010,0.52,0.94,45000,Petrol,Individual,Manual,0,2025,15,2.7999999999999994
Bajaj Pulsar 220 F,2016,0.51,0.94,24000,Petrol,Individual,Manual,0,2025,9,4.777777777777778
TVS Apache RTR 180,2011,0.5,0.826,6000,Petrol,Individual,Manual,0,2025,14,2.3285714285714283
Hero Passion X pro,2016,0.5,0.55,31000,Petrol,Individual,Manual,0,2025,9,0.555555555555556
Bajaj Pulsar NS 200,2012,0.5,0.99,13000,Petrol,Individual,Manual,0,2025,13,3.769230769230769
Bajaj Pulsar NS 200,2013,0.5,0.99,45000,Petrol,Individual,Manual,0,2025,12,4.083333333333333
Yamaha Fazer,2014,0.5,0.88,8000,Petrol,Individual,Manual,0,2025,11,3.4545454545454546
Honda Activa 4G,2017,0.48,0.51,4300,Petrol,Individual,Automatic,0,2025,8,0.37500000000000033
TVS Sport,2017,0.48,0.52,15000,Petrol,Individual,Manual,0,2025,8,0.5000000000000004
Yamaha FZ S V 2.0,2015,0.48,0.84,23000,Petrol,Individual,Manual,0,2025,10,3.5999999999999996
Honda Dream Yuga,2017,0.48,0.54,8600,Petrol,Individual,Manual,0,2025,8,0.7500000000000007
Honda Activa 4G,2017,0.45,0.51,4000,Petrol,Individual,Automatic,0,2025,8,0.75
Bajaj Avenger Street 220,2011,0.45,0.95,24000,Petrol,Individual,Manual,0,2025,14,3.571428571428571
TVS Apache RTR 180,2014,0.45,0.826,23000,Petrol,Individual,Manual,0,2025,11,3.4181818181818175
Bajaj Pulsar NS 200,2012,0.45,0.99,14500,Petrol,Individual,Manual,0,2025,13,4.153846153846154
Bajaj Avenger 220 dtsi,2010,0.45,0.95,27000,Petrol,Individual,Manual,0,2025,15,3.3333333333333335
Hero Splender iSmart,2016,0.45,0.54,14000,Petrol,Individual,Manual,0,2025,9,1.0000000000000002
Activa 3g,2016,0.45,0.54,500,Petrol,Individual,Automatic,0,2025,9,1.0000000000000002
Hero Passion Pro,2016,0.45,0.55,1000,Petrol,Individual,Manual,0,2025,9,1.1111111111111116
TVS Apache RTR 160,2014,0.42,0.81,42000,Petrol,Individual,Manual,0,2025,11,3.545454545454546
Honda CB Trigger,2013,0.42,0.73,12000,Petrol,Individual,Manual,0,2025,12,2.5833333333333335
Hero Splender iSmart,2015,0.4,0.54,14000,Petrol,Individual,Manual,0,2025,10,1.4000000000000001
Yamaha FZ S,2012,0.4,0.83,5500,Petrol,Individual,Manual,0,2025,13,3.3076923076923075
Hero Passion Pro,2015,0.4,0.55,6700,Petrol,Individual,Manual,0,2025,10,1.5000000000000002
Bajaj Pulsar 135 LS,2014,0.4,0.64,13700,Petrol,Individual,Manual,0,2025,11,2.1818181818181817
Activa 4g,2017,0.4,0.51,1300,Petrol,Individual,Automatic,0,2025,8,1.3749999999999998
Honda CB Unicorn,2015,0.38,0.72,38600,Petrol,Individual,Manual,0,2025,10,3.3999999999999995
Hero Honda CBZ extreme,2011,0.38,0.787,75000,Petrol,Individual,Manual,0,2025,14,2.9071428571428575
Honda Karizma,2011,0.35,1.05,30000,Petrol,Individual,Manual,0,2025,14,5.0
Honda Activa 125,2016,0.35,0.57,24000,Petrol,Individual,Automatic,0,2025,9,2.444444444444444
TVS Jupyter,2014,0.35,0.52,19000,Petrol,Individual,Automatic,0,2025,11,1.5454545454545459
Honda Karizma,2010,0.31,1.05,213000,Petrol,Individual,Manual,0,2025,15,4.933333333333334
Hero Honda Passion Pro,2012,0.3,0.51,60000,Petrol,Individual,Manual,0,2025,13,1.6153846153846154
Hero Splender Plus,2016,0.3,0.48,50000,Petrol,Individual,Manual,0,2025,9,2.0
Honda CB Shine,2013,0.3,0.58,30000,Petrol,Individual,Manual,0,2025,12,2.333333333333333
Bajaj Discover 100,2013,0.27,0.47,21000,Petrol,Individual,Manual,0,2025,12,1.6666666666666663
Bajaj Pulsar 150,2008,0.25,0.75,26000,Petrol,Individual,Manual,1,2025,17,2.941176470588235
Suzuki Access 125,2008,0.25,0.58,1900,Petrol,Individual,Automatic,0,2025,17,1.941176470588235
TVS Wego,2010,0.25,0.52,22000,Petrol,Individual,Automatic,0,2025,15,1.8000000000000003
Honda CB twister,2013,0.25,0.51,32000,Petrol,Individual,Manual,0,2025,12,2.166666666666667
Hero Glamour,2013,0.25,0.57,18000,Petrol,Individual,Manual,0,2025,12,2.666666666666666
Hero Super Splendor,2005,0.2,0.57,55000,Petrol,Individual,Manual,0,2025,20,1.8499999999999996
Bajaj Pulsar 150,2008,0.2,0.75,60000,Petrol,Individual,Manual,0,2025,17,3.2352941176470593
Bajaj Discover 125,2012,0.2,0.57,25000,Petrol,Individual,Manual,1,2025,13,2.846153846153846
Hero Hunk,2007,0.2,0.75,49000,Petrol,Individual,Manual,1,2025,18,3.055555555555556
Hero  Ignitor Disc,2013,0.2,0.65,24000,Petrol,Individual,Manual,1,2025,12,3.75
Hero  CBZ Xtreme,2008,0.2,0.787,50000,Petrol,Individual,Manual,0,2025,17,3.452941176470588
Bajaj  ct 100,2015,0.18,0.32,35000,Petrol,Individual,Manual,0,2025,10,1.4000000000000001
Activa 3g,2008,0.17,0.52,500000,Petrol,Individual,Automatic,0,2025,17,2.0588235294117645
Honda CB twister,2010,0.16,0.51,33000,Petrol,Individual,Manual,0,2025,15,2.333333333333333
Bajaj Discover 125,2011,0.15,0.57,35000,Petrol,Individual,Manual,1,2025,14,2.9999999999999996
Honda CB Shine,2007,0.12,0.58,53000,Petrol,Individual,Manual,0,2025,18,2.5555555555555554
Bajaj Pulsar 150,2006,0.1,0.75,92233,Petrol,Individual,Manual,0,2025,19,3.421052631578948
i20,2010,3.25,6.79,58000,Diesel,Dealer,Manual,1,2025,15,23.6
grand i10,2015,4.4,5.7,28200,Petrol,Dealer,Manual,0,2025,10,12.999999999999998
i10,2011,2.95,4.6,53460,Petrol,Dealer,Manual,0,2025,14,11.785714285714281
eon,2015,2.75,4.43,28282,Petrol,Dealer,Manual,0,2025,10,16.799999999999997
grand i10,2016,5.25,5.7,3493,Petrol,Dealer,Manual,1,2025,9,5.000000000000002
xcent,2017,5.75,7.13,12479,Petrol,Dealer,Manual,0,2025,8,17.25
grand i10,2015,5.15,5.7,34797,Petrol,Dealer,Automatic,0,2025,10,5.499999999999998
i20,2017,7.9,8.1,3435,Petrol,Dealer,Manual,0,2025,8,2.499999999999991
grand i10,2015,4.85,5.7,21125,Diesel,Dealer,Manual,0,2025,10,8.500000000000005
i10,2012,3.1,4.6,35775,Petrol,Dealer,Manual,0,2025,13,11.538461538461535
elantra,2015,11.75,14.79,43535,Diesel,Dealer,Manual,0,2025,10,30.399999999999995
creta,2016,11.25,13.6,22671,Petrol,Dealer,Manual,0,2025,9,26.111111111111107
i20,2011,2.9,6.79,31604,Petrol,Dealer,Manual,0,2025,14,27.785714285714285
grand i10,2017,5.25,5.7,20114,Petrol,Dealer,Manual,0,2025,8,5.625000000000002
verna,2012,4.5,9.4,36100,Petrol,Dealer,Manual,0,2025,13,37.6923076923077
eon,2016,2.9,4.43,12500,Petrol,Dealer,Manual,0,2025,9,17.0
eon,2016,3.15,4.43,15000,Petrol,Dealer,Manual,0,2025,9,14.22222222222222
verna,2014,6.45,9.4,45078,Petrol,Dealer,Manual,0,2025,11,26.81818181818182
verna,2012,4.5,9.4,36000,Petrol,Dealer,Manual,0,2025,13,37.6923076923077
eon,2017,3.5,4.43,38488,Petrol,Dealer,Manual,0,2025,8,11.624999999999996
i20,2013,4.5,6.79,32000,Petrol,Dealer,Automatic,0,2025,12,19.083333333333332
i20,2014,6.0,7.6,77632,Diesel,Dealer,Manual,0,2025,11,14.545454545454541
verna,2015,8.25,9.4,61381,Diesel,Dealer,Manual,0,2025,10,11.500000000000004
verna,2013,5.11,9.4,36198,Petrol,Dealer,Automatic,0,2025,12,35.75
i10,2011,2.7,4.6,22517,Petrol,Dealer,Manual,0,2025,14,13.571428571428568
grand i10,2015,5.25,5.7,24678,Petrol,Dealer,Manual,0,2025,10,4.500000000000002
i10,2011,2.55,4.43,57000,Petrol,Dealer,Manual,0,2025,14,13.428571428571429
verna,2012,4.95,9.4,60000,Diesel,Dealer,Manual,0,2025,13,34.23076923076923
i20,2012,3.1,6.79,52132,Diesel,Dealer,Manual,0,2025,13,28.384615384615387
verna,2013,6.15,9.4,45000,Diesel,Dealer,Manual,0,2025,12,27.083333333333332
verna,2017,9.25,9.4,15001,Petrol,Dealer,Manual,0,2025,8,1.8750000000000044
elantra,2015,11.45,14.79,12900,Petrol,Dealer,Automatic,0,2025,10,33.4
grand i10,2013,3.9,5.7,53000,Diesel,Dealer,Manual,0,2025,12,15.000000000000002
grand i10,2015,5.5,5.7,4492,Petrol,Dealer,Manual,0,2025,10,2.0000000000000018
verna,2017,9.1,9.4,15141,Petrol,Dealer,Manual,0,2025,8,3.750000000000009
eon,2016,3.1,4.43,11849,Petrol,Dealer,Manual,0,2025,9,14.777777777777773
creta,2015,11.25,13.6,68000,Diesel,Dealer,Manual,0,2025,10,23.499999999999996
verna,2013,4.8,9.4,60241,Petrol,Dealer,Manual,0,2025,12,38.333333333333336
eon,2012,2.0,4.43,23709,Petrol,Dealer,Manual,0,2025,13,18.69230769230769
verna,2012,5.35,9.4,32322,Diesel,Dealer,Manual,0,2025,13,31.15384615384616
xcent,2015,4.75,7.13,35866,Petrol,Dealer,Manual,1,2025,10,23.799999999999997
xcent,2014,4.4,7.13,34000,Petrol,Dealer,Manual,0,2025,11,24.818181818181813
i20,2016,6.25,7.6,7000,Petrol,Dealer,Manual,0,2025,9,14.999999999999996
verna,2013,5.95,9.4,49000,Diesel,Dealer,Manual,0,2025,12,28.750000000000004
verna,2012,5.2,9.4,71000,Diesel,Dealer,Manual,0,2025,13,32.30769230769231
i20,2012,3.75,6.79,35000,Petrol,Dealer,Manual,0,2025,13,23.384615384615383
verna,2015,5.95,9.4,36000,Petrol,Dealer,Manual,0,2025,10,34.5
i10,2013,4.0,4.6,30000,Petrol,Dealer,Manual,0,2025,12,4.9999999999999964
i20,2016,5.25,7.6,17000,Petrol,Dealer,Manual,0,2025,9,26.111111111111107
creta,2016,12.9,13.6,35934,Diesel,Dealer,Manual,0,2025,9,7.77777777777777
city,2013,5.0,9.9,56701,Petrol,Dealer,Manual,0,2025,12,40.833333333333336
brio,2015,5.4,6.82,31427,Petrol,Dealer,Automatic,0,2025,10,14.2
city,2014,7.2,9.9,48000,Diesel,Dealer,Manual,0,2025,11,24.545454545454547
city,2013,5.25,9.9,54242,Petrol,Dealer,Manual,0,2025,12,38.75
brio,2012,3.0,5.35,53675,Petrol,Dealer,Manual,0,2025,13,18.076923076923073
city,2016,10.25,13.6,49562,Petrol,Dealer,Manual,0,2025,9,37.222222222222214
city,2015,8.5,13.6,40324,Petrol,Dealer,Manual,0,2025,10,51.0
city,2015,8.4,13.6,25000,Petrol,Dealer,Manual,0,2025,10,51.99999999999999
amaze,2014,3.9,7.0,36054,Petrol,Dealer,Manual,0,2025,11,28.18181818181818
city,2016,9.15,13.6,29223,Petrol,Dealer,Manual,0,2025,9,49.444444444444436
brio,2016,5.5,5.97,5600,Petrol,Dealer,Manual,0,2025,9,5.22222222222222
amaze,2015,4.0,5.8,40023,Petrol,Dealer,Manual,0,2025,10,18.0
jazz,2016,6.6,7.7,16002,Petrol,Dealer,Manual,0,2025,9,12.222222222222229
amaze,2015,4.0,7.0,40026,Petrol,Dealer,Manual,0,2025,10,30.0
jazz,2017,6.5,8.7,21200,Petrol,Dealer,Manual,0,2025,8,27.499999999999993
amaze,2014,3.65,7.0,35000,Petrol,Dealer,Manual,0,2025,11,30.454545454545457
city,2016,8.35,9.4,19434,Diesel,Dealer,Manual,0,2025,9,11.666666666666675
brio,2017,4.8,5.8,19000,Petrol,Dealer,Manual,0,2025,8,12.5
city,2015,6.7,10.0,18828,Petrol,Dealer,Manual,0,2025,10,32.99999999999999
city,2011,4.1,10.0,69341,Petrol,Dealer,Manual,0,2025,14,42.142857142857146
city,2009,3.0,10.0,69562,Petrol,Dealer,Manual,0,2025,16,43.75
city,2015,7.5,10.0,27600,Petrol,Dealer,Manual,0,2025,10,25.0
jazz,2010,2.25,7.5,61203,Petrol,Dealer,Manual,0,2025,15,35.0
brio,2014,5.3,6.8,16500,Petrol,Dealer,Manual,0,2025,11,13.636363636363635
city,2016,10.9,13.6,30753,Petrol,Dealer,Automatic,0,2025,9,29.999999999999993
city,2015,8.65,13.6,24800,Petrol,Dealer,Manual,0,2025,10,49.49999999999999
city,2015,9.7,13.6,21780,Petrol,Dealer,Manual,0,2025,10,39.0
jazz,2016,6.0,8.4,4000,Petrol,Dealer,Manual,0,2025,9,26.66666666666667
city,2014,6.25,13.6,40126,Petrol,Dealer,Manual,0,2025,11,66.81818181818181
brio,2015,5.25,5.9,14465,Petrol,Dealer,Manual,0,2025,10,6.500000000000003
city,2006,2.1,7.6,50456,Petrol,Dealer,Manual,0,2025,19,28.947368421052634
